Cannonsville,Pepacton ,Neversink ,Rondout ,Ashokan ,Schoharie 
3.096774194,3.161290323,4.516129032,4.35483871,3.64516129,2.580645161
4,3.357142857,5.392857143,5,5,3.5
2.580645161,2.161290323,3.774193548,3.258064516,3.322580645,2.193548387
2.633333333,1.933333333,2.633333333,2.5,2.433333333,2.3
2.387096774,3.129032258,4.032258065,3.580645161,4.096774194,3
3.6,3.6,5,4.7,3.533333333,2.9
3.258064516,3.290322581,3.774193548,3.677419355,3.774193548,3.129032258
3.935483871,4.258064516,3.032258065,2.483870968,4.290322581,3.709677419
2.8,2.333333333,1.766666667,1.566666667,2.066666667,2.233333333
1.35483871,1.35483871,2.838709677,2.548387097,2.806451613,1.838709677
4.066666667,5.566666667,8.8,7.5,7.833333333,6.333333333
3.580645161,2.741935484,5.032258065,4.548387097,6.096774194,3.64516129
2.483870968,2.741935484,3.225806452,3.516129032,3.225806452,2.064516129
3.928571429,4.178571429,6,5.464285714,6.142857143,3.964285714
3.129032258,3.290322581,6.096774194,6,7.935483871,3.935483871
2.166666667,1.9,3.5,3.1,3.666666667,2.466666667
1.64516129,1.64516129,3.032258065,2.838709677,2.451612903,2.161290323
3.933333333,3,3.933333333,3.933333333,3.033333333,4
6.225806452,5.387096774,5.258064516,5.419354839,4.064516129,5.580645161
2.322580645,2.064516129,3.032258065,2.870967742,2.419354839,1.709677419
3.433333333,3.5,3.8,3.566666667,3.4,3.833333333
3.032258065,3.64516129,4,3.774193548,4.193548387,3.967741935
4.366666667,4.066666667,6.1,5.6,6.166666667,4.4
3.709677419,2.838709677,5.774193548,5.258064516,5.838709677,2.870967742
2.322580645,2.806451613,4.548387097,4.35483871,4.774193548,2.322580645
2.178571429,2.035714286,3,2.75,3.214285714,2.285714286
2.548387097,2.677419355,3.806451613,3.483870968,4.225806452,2.483870968
3.166666667,4,6.666666667,6.433333333,6.366666667,4.9
3.096774194,3.516129032,5.419354839,5.193548387,5.032258065,3.612903226
2.266666667,2.9,4.5,4.6,4.633333333,3.433333333
4.451612903,4.096774194,7.096774194,6.870967742,8.064516129,3.483870968
2.129032258,2.193548387,3.548387097,3.290322581,3.870967742,2.193548387
2.066666667,2.433333333,4.433333333,4.433333333,3.633333333,2.966666667
1.129032258,1.161290323,0.806451613,0.741935484,0.806451613,1.096774194
2.033333333,2.2,6.366666667,5.633333333,6.466666667,2.466666667
4.032258065,4.419354839,5.064516129,4.548387097,7,3.935483871
3.064516129,3.548387097,5.903225806,5.193548387,5.548387097,3.290322581
2.214285714,1.964285714,3.321428571,3,2.714285714,1.714285714
3.548387097,3.580645161,6,5.516129032,6.580645161,4.225806452
3.133333333,4.233333333,5.766666667,5.6,5.3,3.3
4.903225806,5.225806452,4.935483871,4.741935484,4.451612903,5.290322581
2.333333333,2.166666667,2.4,2.133333333,2.1,1.8
1.516129032,2.258064516,1.741935484,1.709677419,1.935483871,2.290322581
2.193548387,1.322580645,0.870967742,0.741935484,1.64516129,2.193548387
4.133333333,2.333333333,2.666666667,2.4,2.366666667,2.033333333
3.096774194,3.258064516,3.870967742,3.483870968,3.225806452,3.774193548
1.9,1.866666667,2.1,1.8,2.2,2.333333333
2.548387097,2.612903226,4.64516129,4.161290323,4.129032258,2.580645161
2.258064516,2.290322581,2.870967742,2.580645161,2.548387097,2.225806452
2.535714286,1.821428571,2.964285714,2.678571429,2.607142857,1.785714286
2.290322581,2.419354839,4.580645161,3.935483871,4,2.64516129
3.4,3.633333333,3.666666667,3.133333333,3.533333333,2.333333333
3.483870968,4.193548387,5.580645161,4.903225806,6.161290323,5.290322581
3.266666667,2.8,2,1.366666667,1.9,3.533333333
2.129032258,2.032258065,1.548387097,1.322580645,1.774193548,2.516129032
3.741935484,3.290322581,3.032258065,2.677419355,3.419354839,3.225806452
2.7,3.433333333,3.8,3.533333333,4.466666667,3.966666667
2.580645161,2.677419355,2.967741935,2.548387097,1.967741935,2.548387097
5.133333333,4.4,6.333333333,5.466666667,6.4,4.633333333
2.806451613,3,4.032258065,3.322580645,4.258064516,3.322580645
0.838709677,0.709677419,0.935483871,0.806451613,0.580645161,0.64516129
3.142857143,2.357142857,4.321428571,4,3.571428571,2.5
2.64516129,2.419354839,4.129032258,3.870967742,4.032258065,2.580645161
2.266666667,2.433333333,3.466666667,3,2.766666667,2.333333333
2.193548387,1.64516129,1.903225806,1.516129032,1.870967742,1.806451613
2.633333333,1.866666667,2.733333333,2.4,2.866666667,2.366666667
1.935483871,1.161290323,0.967741935,0.741935484,0.774193548,2.677419355
9.806451613,9.35483871,14.80645161,13.03225806,11.64516129,11.22580645
2.2,2.066666667,3.366666667,3.1,2.133333333,1.866666667
6.967741935,7.677419355,14.09677419,12.06451613,14.80645161,10.4516129
1.833333333,1.966666667,3.633333333,3.4,2.9,2.4
1.225806452,1.032258065,1,0.903225806,0.677419355,1
1.774193548,1.741935484,2.258064516,1.774193548,1.677419355,3.483870968
3.464285714,3.428571429,5.357142857,4.857142857,4.321428571,3.285714286
4.064516129,3.967741935,3.935483871,3.548387097,3.64516129,4.193548387
3.5,3.8,6.066666667,5.433333333,4.933333333,3.666666667
1.806451613,1.548387097,2.483870968,2.419354839,1.419354839,1.290322581
2.933333333,3.266666667,2.9,2.9,3.133333333,1.766666667
3.935483871,3,4.161290323,4.064516129,4.580645161,3.032258065
2.677419355,2.064516129,2.419354839,2.516129032,1.64516129,1.870967742
5.2,4.033333333,4.466666667,4.1,4.7,4.6
1.64516129,1.806451613,2.387096774,2.064516129,1.741935484,1.483870968
1.966666667,2.233333333,3.266666667,3.033333333,2.8,1.966666667
3.516129032,3.193548387,4.193548387,3.903225806,3.451612903,2.903225806
1.548387097,1.870967742,2.387096774,1.903225806,1.64516129,1.258064516
1.214285714,1.107142857,2.321428571,2.142857143,1.75,0.928571429
1.451612903,1.096774194,1.64516129,1.35483871,1.483870968,1.774193548
3.666666667,3.433333333,4.733333333,4.666666667,3.8,3
4.064516129,4.161290323,2.774193548,2.580645161,3.032258065,4.032258065
3.133333333,2.5,2.133333333,2.1,1.933333333,2.566666667
3.161290323,2.870967742,3.225806452,2.838709677,3.290322581,3.387096774
1.290322581,1.322580645,1.35483871,1.193548387,1.612903226,2.096774194
1.7,2,2.866666667,2.8,1.966666667,1.5
1.967741935,2.032258065,3.838709677,3.193548387,3.096774194,2.677419355
2.166666667,2.533333333,4.2,3.6,3.666666667,2.4
4.032258065,3.741935484,7.903225806,6.64516129,8.387096774,4.838709677
3.35483871,3.935483871,5.580645161,4.548387097,4.903225806,5.096774194
3.214285714,3.821428571,4.285714286,3.321428571,3.464285714,4.107142857
2.419354839,2.903225806,4.64516129,3.612903226,3.129032258,3.870967742
3.233333333,2.5,4.233333333,4.066666667,3.566666667,3.466666667
3.483870968,3.35483871,3.35483871,3.096774194,3,2.741935484
3.4,3.233333333,1.366666667,1.066666667,0.733333333,3
3.709677419,3.612903226,4.225806452,4.35483871,3.35483871,4.032258065
2.677419355,2.483870968,3.35483871,3.516129032,2.290322581,1.967741935
3.8,2.933333333,4.9,4.266666667,4.2,2.733333333
3.967741935,4.258064516,5.548387097,5.032258065,5.258064516,4.483870968
3.3,3,3.933333333,3.433333333,3.066666667,2.633333333
0.903225806,0.709677419,1.129032258,1.032258065,0.967741935,0.612903226
2.580645161,2.677419355,4.516129032,4.032258065,3.64516129,2.193548387
1.821428571,1.571428571,3.25,2.857142857,1.892857143,1.321428571
2.387096774,2.322580645,3.032258065,2.709677419,2.741935484,2.483870968
3,2.866666667,3.6,3.233333333,3,3.066666667
1.193548387,0.774193548,0.967741935,0.774193548,0.580645161,0.516129032
2.766666667,2.2,3.8,3.9,2.1,3.433333333
1.935483871,2.096774194,3.290322581,3.935483871,1.967741935,1.129032258
3.838709677,4.419354839,3.903225806,3.516129032,3.709677419,2.322580645
2.5,3.7,3.833333333,3.466666667,3.566666667,2.233333333
5.096774194,5.387096774,9.225806452,8.516129032,10.80645161,5.903225806
5.733333333,5.833333333,5.933333333,5.033333333,5,4.866666667
3.290322581,3.129032258,5,4.193548387,4.516129032,3.096774194
2.580645161,2.516129032,3.290322581,3.032258065,2.290322581,1.870967742
3.428571429,3.821428571,4.642857143,3.857142857,4.678571429,4.714285714
1.419354839,1.774193548,2.387096774,1.806451613,2.064516129,1.64516129
3.566666667,3.5,3.533333333,2.933333333,3.1,3.1
2.967741935,2.677419355,4.193548387,3.677419355,3.903225806,2.580645161
4.433333333,4.333333333,5.933333333,5.7,4.966666667,3.3
3.35483871,3.35483871,4.709677419,4.838709677,3.903225806,4.322580645
2.741935484,2.741935484,3.935483871,4.096774194,2.774193548,2
7.2,7.166666667,7.766666667,7.166666667,7.4,7.8
1.935483871,1.903225806,1.193548387,1.225806452,0.967741935,1.516129032
1.2,1.566666667,2.133333333,2.033333333,2,1.366666667
0.935483871,1.258064516,1.258064516,1.064516129,1.225806452,1.096774194
1.35483871,1.419354839,1.548387097,1.193548387,1.580645161,1.516129032
2.464285714,2.678571429,3.464285714,2.821428571,3.642857143,2.571428571
2.516129032,2.774193548,3.419354839,3.064516129,3.161290323,2.419354839
3.9,3.933333333,5.6,4.8,5.233333333,3.633333333
2.935483871,3.419354839,4.322580645,4.064516129,3.387096774,3.419354839
4.1,3.333333333,5.466666667,4.933333333,4.7,3.366666667
3.193548387,2.709677419,2.258064516,2.451612903,2.677419355,2.64516129
4.290322581,3.322580645,4.35483871,3.483870968,3.35483871,2.322580645
1.033333333,1.433333333,2.166666667,1.766666667,1.8,1.2
1.322580645,1.096774194,0.741935484,0.677419355,0.64516129,0.838709677
3.233333333,3.166666667,4.033333333,3.766666667,3.366666667,2.566666667
1.774193548,1.322580645,2.225806452,1.903225806,1.903225806,1.741935484
2.419354839,2.322580645,4.064516129,3.548387097,3.64516129,2.032258065
2.75,2.321428571,4.25,3.321428571,3.964285714,2.607142857
1.161290323,1,1.677419355,1.419354839,2.161290323,1.064516129
5,4.766666667,5.166666667,4.566666667,5,3.933333333
1.387096774,1.35483871,0.709677419,0.709677419,0.612903226,0.548387097
2.7,3.366666667,2.8,2.633333333,2.266666667,3.1
2.35483871,1.903225806,1.419354839,1.290322581,1.129032258,2.193548387
3.870967742,2.419354839,2,1.64516129,1.64516129,1.903225806
1.633333333,1.766666667,3.433333333,2.5,2.566666667,2.366666667
3.806451613,2.935483871,3.935483871,3.774193548,4.096774194,2.806451613
1.866666667,1.866666667,3.533333333,3,3.133333333,2.733333333
2,2.193548387,4.322580645,3.516129032,3.935483871,2.451612903
2.096774194,1.64516129,2.387096774,2.064516129,2.451612903,1.64516129
1.821428571,1.607142857,2.75,2.321428571,1.571428571,1.321428571
2.774193548,2.451612903,3.064516129,2.548387097,1.838709677,1.935483871
1.566666667,1.633333333,2.033333333,1.766666667,1,0.833333333
2.516129032,2,2.903225806,2.774193548,2.35483871,2.032258065
